Width,Drop,Cost,ID,prID
1610,1100,70.48,600227,3,
1610,1200,74.63,600246,3,
1610,1300,78.77,600265,3,
1610,1400,82.91,600284,3,
1610,1500,87.06,600303,3,
1610,1600,91.2,600322,3,
1610,1700,95.35,600341,3,
1610,1800,99.49,600360,3,
1610,1900,103.64,600379,3,
1610,2000,107.78,600398,3,
1610,2100,111.93,600417,3,
1610,2200,116.07,600436,3,
1610,2300,120.21,600455,3,
1610,2400,125.4,600474,3,
1610,2500,129.54,600493,3,
1610,2600,133.69,600511,3,
1610,2700,137.83,600528,3,
1610,2800,141.98,600545,3,
1610,2900,146.12,600561,3,
1610,3000,150.27,600576,3,
1610,3100,154.41,600590,3,
1610,3200,158.55,600604,3,
1710,600,53.96,600133,3,
1710,700,58.39,600152,3,
1710,800,62.81,600171,3,
1710,900,67.23,600190,3,
1710,1000,71.66,600209,3,
1710,1100,76.08,600228,3,
1710,1200,80.5,600247,3,
1710,1300,84.93,600266,3,
1710,1400,89.35,600285,3,
1710,1500,93.77,600304,3,
1710,1600,98.2,600323,3,
1710,1700,102.62,600342,3,
1710,1800,107.04,600361,3,
1710,1900,111.47,600380,3,
1710,2000,115.89,600399,3,
1710,2100,120.31,600418,3,
1710,2200,124.74,600437,3,
1710,2300,129.16,600456,3,
1710,2400,134.62,600475,3,
1710,2500,139.05,600494,3,
1710,2600,143.47,600512,3,
1710,2700,147.89,600529,3,
1710,2800,152.32,600546,3,
1710,2900,156.74,600562,3,
1710,3000,161.16,600577,3,
1710,3100,165.59,600591,3,
1710,3200,170.01,600605,3,
1810,600,57.34,600134,3,
1810,700,62.02,600153,3,
1810,800,66.69,600172,3,
1810,900,71.36,600191,3,
1810,1000,76.03,600210,3,
1810,1100,80.71,600229,3,
1810,1200,85.38,600248,3,
1810,1300,90.05,600267,3,
1810,1400,94.73,600286,3,
1810,1500,99.4,600305,3,
1810,1600,104.07,600324,3,
1810,1700,108.75,600343,3,
1810,1800,113.42,600362,3,
1810,1900,118.09,600381,3,
1810,2000,122.76,600400,3,
1810,2100,127.44,600419,3,
1810,2200,132.11,600438,3,
1810,2300,136.78,600457,3,
1810,2400,141.46,600476,3,
1810,2500,146.13,600495,3,
1810,2600,150.8,600513,3,
1810,2700,155.47,600530,3,
1810,2800,160.15,600547,3,
1810,2900,164.82,600563,3,
1810,3000,169.49,600578,3,
1810,3100,174.17,600592,3,
1810,3200,178.84,600606,3,
1910,600,59.71,600135,3,
1910,700,64.63,600154,3,
1910,800,69.55,600173,3,
1910,900,74.47,600192,3,
1910,1000,79.4,600211,3,
1910,1100,84.32,600230,3,
1910,1200,89.24,600249,3,
1910,1300,94.16,600268,3,
1910,1400,99.09,600287,3,
1910,1500,104.01,600306,3,
1910,1600,108.93,600325,3,
1910,1700,113.85,600344,3,
1910,1800,118.78,600363,3,
1910,1900,123.7,600382,3,
1910,2000,128.62,600401,3,
1910,2100,133.55,600420,3,
1910,2200,138.47,600439,3,
1910,2300,143.39,600458,3,
1910,2400,148.31,600477,3,
1910,2500,153.24,600496,3,
1910,2600,158.16,600514,3,
1910,2700,163.08,600531,3,
1910,2800,168,600548,3,
1910,2900,172.93,600564,3,
