Width,Drop,Cost,ID,prID
1910,800,49.54,598129,1,
1910,900,53.05,598148,1,
1910,1000,56.56,598167,1,
1910,1100,60.06,598186,1,
1910,1200,63.57,598205,1,
1910,1300,67.08,598224,1,
1910,1400,70.58,598243,1,
1910,1500,74.09,598262,1,
1910,1600,77.6,598281,1,
1910,1700,81.1,598300,1,
1910,1800,84.61,598319,1,
1910,1900,88.12,598338,1,
1910,2000,91.62,598357,1,
1910,2100,95.13,598376,1,
1910,2200,98.63,598395,1,
1910,2300,102.14,598414,1,
1910,2400,105.65,598433,1,
1910,2500,109.15,598452,1,
1910,2600,112.66,598470,1,
1910,2700,116.17,598487,1,
1910,2800,119.67,598504,1,
1910,2900,123.18,598520,1,
1910,3000,126.69,598535,1,
1910,3100,130.19,598549,1,
2010,600,44.2,598092,1,
2010,700,47.88,598111,1,
2010,800,51.57,598130,1,
2010,900,55.25,598149,1,
2010,1000,58.93,598168,1,
2010,1100,62.62,598187,1,
2010,1200,66.3,598206,1,
2010,1300,69.99,598225,1,
2010,1400,73.67,598244,1,
2010,1500,77.36,598263,1,
2010,1600,81.04,598282,1,
2010,1700,84.72,598301,1,
2010,1800,88.41,598320,1,
2010,1900,92.09,598339,1,
2010,2000,95.78,598358,1,
2010,2100,99.46,598377,1,
2010,2200,103.15,598396,1,
2010,2300,106.83,598415,1,
2010,2400,110.52,598434,1,
2010,2500,114.2,598453,1,
2010,2600,117.88,598471,1,
2010,2700,121.57,598488,1,
2010,2800,125.25,598505,1,
2010,2900,128.94,598521,1,
2110,600,45.86,598093,1,
2110,700,49.73,598112,1,
2110,800,53.59,598131,1,
2110,900,57.45,598150,1,
2110,1000,61.31,598169,1,
2110,1100,65.17,598188,1,
2110,1200,69.04,598207,1,
2110,1300,72.9,598226,1,
2110,1400,76.76,598245,1,
2110,1500,80.62,598264,1,
2110,1600,84.48,598283,1,
2110,1700,88.35,598302,1,
2110,1800,92.21,598321,1,
2110,1900,96.07,598340,1,
2110,2000,99.93,598359,1,
2110,2100,103.8,598378,1,
2110,2200,107.66,598397,1,
2110,2300,111.52,598416,1,
2110,2400,115.38,598435,1,
2110,2500,119.24,598454,1,
2110,2600,123.11,598472,1,
2110,2700,126.97,598489,1,
2110,2800,130.83,598506,1,
2210,600,47.53,598094,1,
2210,700,51.57,598113,1,
2210,800,55.61,598132,1,
2210,900,59.65,598151,1,
2210,1000,63.69,598170,1,
2210,1100,67.73,598189,1,
2210,1200,71.77,598208,1,
2210,1300,75.81,598227,1,
2210,1400,79.85,598246,1,
2210,1500,83.89,598265,1,
2210,1600,87.93,598284,1,
2210,1700,91.97,598303,1,
2210,1800,96.01,598322,1,
2210,1900,100.05,598341,1,
2210,2000,104.09,598360,1,
2210,2100,108.13,598379,1,
2210,2200,112.17,598398,1,
2210,2300,116.21,598417,1,
2210,2400,120.25,598436,1,
2210,2500,124.29,598455,1,
2210,2600,128.33,598473,1,
2210,2700,132.37,598490,1,
2210,2800,136.41,2244442,1,
2210,2900,140.45,2244443,1,
2210,3000,144.49,2244444,1,
2310,600,49.2,598095,1,
2310,700,53.41,598114,1,
2310,800,57.63,598133,1,
2310,900,61.85,598152,1,
2310,1000,66.07,598171,1,
2310,1100,70.28,598190,1,
2310,1200,74.5,598209,1,
2310,1300,78.72,598228,1,
2310,1400,82.94,598247,1,
2310,1500,87.16,598266,1,
